TE	D.destructor	S.moxae	D.dipsaci	D.weischeri	R.similis	H.carotae	H.schachtii	H.glycines	G.rostochiensis	G.elli	G.pallida	P.scribneri	M.graminicola	M.exigua	M.chitwoodi	M.hapla	M.enterolobii	M.floridensis	M.javanica	M.luci	M.arenaria	M.incognita	B.xylophilus	A.bicaudatus	A.besseyi	A.fujianensis
DNA/hAT	4.1569729418963	3.80841355140037	4.1177351793305	4.79661595688491	2.07918124604762	3.54282542695918	2.96754797621886	2.54282542695918	3.23704079137919	2.70757017609794	3.79546289439038	5.25968464602455	3.05766610390983	3.06032002868828	3.47813342810052	2.41664050733828	3.81036695368163	2.41161970596323	3.66020120138068	3.73933496019608	4.08357427967399	3.52139962811538	0	0	0	0
DNA/hAT-Ac	4.07059193151204	4.39635629264291	4.1177351793305	4.53386099197502	1.60205999132796	4.42365539257338	4.34777871706536	4.47691853665688	4.25391926057491	4.47401218516985	3.91661184510935	4.87098881376058	1.95904139232109	3.54518336821541	4.1414811292708	2.67577834167409	4.76796431141426	4.14897263450921	5.03891012457295	5.12541945160019	5.16745912204356	4.96203768656501	2.26951294421792	0	0	2.35602585719312
DNA/hAT-Blackjack	0	3.06032002868828	5.02688856242146	4.0533089811241	0	0	3.05192391604611	2.62940959910272	1.98227123303957	1.34242268082221	0	1.5910646070265	0	0	1.568201724067	0	0	0	0	0	0	0	0	0	0	0
DNA/hAT-Charlie	0	3.28914283593233	2.83250891270624	0	0	0	0	2.14612803567824	0	0	2.93399316383124	0	0	0	0	0	0	0	2.77524625974024	3.03502928220237	0	0	1.07918124604762	0	0	0
DNA/hAT-hAT1	0	0	3.30856441356124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA/hAT-hAT19	1.60205999132796	1.91381385238372	1.04139268515823	1.93449845124357	0	3.85533740446954	2.51188336097887	3.17026171539496	3.39040515648008	2.95036485437612	3.40449161775869	3.02284061087653	0	0	1.04139268515823	0.301029995663981	2.40312052117582	1.568201724067	2.86153441085904	2.36921585741014	2.56702636615906	2.19589965240923	0	0	3.66782637895071	0
DNA/hAT-hATm	0	0	1.41497334797082	1.41497334797082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA/hAT-hATw	0	0	0	1.98227123303957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA/hAT-hATx	0	0	2.69810054562339	1.74036268949424	2.16731733474818	2.20411998265592	2.20682587603185	2.75587485567249	3.28712962071911	2.88705437805096	3.64952956594782	0	0	0	0	0	3.2043913319193	0	3.06929801211553	2.82736927305383	3.30189771719521	2.64048143697042	0	0	0	0
DNA/hAT-hobo	0	0	2.04532297878666	3.23704079137919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA/hAT-Tag1	2.02530586526477	0	2.72263392253381	3.59428202881181	0	2.23552844690755	2.4814426285023	0	2.59769518592551	2.65801139665711	4.41782031745014	0	0	0	1.98677173426624	0	0	0	4.80128705918372	0	0	0	0	0	0	0
DNA/hAT-Tip100	2.76863810124761	0	4.01059673620653	2.69983772586725	0	2.13033376849501	1.49136169383427	0	0	2.08278537031645	2.60314437262018	3.93470040171542	0	0	0	0.301029995663981	0	0	2.56348108539441	0	2.82477646247555	0	0	0	0	0
DNA/IS3EU	0	0	3.76908178711822	2.47421626407626	0	0	0	0	0	0	3.66181268553726	0	0	0	3.57507232571381	0	0	0	0	0	3.41597441137657	0	0	0	0	0
DNA/Kolobok-H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.778151250383644	0
DNA/Kolobok-Hydra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA/Kolobok-T2	0	0	2.65224634100332	1.66275783168157	0	0	0	0	4.22429992607983	0	0	0	0	0	0	0	0	0	3.30770992340481	0	3.44901531634779	3.53135116458306	4.95557230786681	0	0	0
DNA/Maverick	0	0	1.89209460269048	3.1078880251828	0	3.52646851246948	3.2143138974244	3.94121318758532	2.84198480459011	3.95438725014451	2.34242268082221	4.35001529823469	0	0	2.63245729218472	1.51851393987789	4.47453676587209	4.32592595577147	4.17834373897622	5.36364581970219	4.37145578191302	4.66787303463985	0	0	0	0
DNA/Merlin	0.301029995663981	2.28103336724773	3.89164894387056	3.99343623049761	0	2.89209460269048	3.01241537476243	3.60595115756487	0.954242509439325	3.06258198422816	2.73957234445009	1.79934054945358	2.89209460269048	3.27829620809127	3.29688447553855	2.15533603746506	1.93951925261862	2.5705429398819	3.76192783842053	3.25839780409551	3.36248247475117	1.55630250076729	0	0	1.91381385238372	2.12710479836481
DNA/MULE-F	0	0	4.25095643933189	0	0	0	0	0	0	0	0	1.77815125038364	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA/MULE-MuDR	3.7199938263676	4.03031630598859	0	4.46447464345546	3.42602301568988	3.11892575282578	3.78046133286172	4.07957916697013	3.21669359916975	2.86923171973098	1.69019608002851	4.89800075359516	3.28330122870355	3.77582881446461	2.85369821177617	2.89320675305985	4.80489555062582	3.97689995098294	3.79162048269281	4.28494932140367	4.52945602113109	4.65738097369455	3.57449426828533	0	2.08278537031645	3.72997428569956
DNA/MULE-NOF	0	0	4.75794993235939	1.82607480270083	0	0	0	0	0	0	0	1.57978359661681	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA/Novosib	0	0	0.477121254719662	2.76342799356294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA/P	0	0	0	0	0	0	0	0	1.32221929473392	0	0	0	0	0	0	0	0	0	0	3.0884904701824	0	0	0	0	1.39794000867204	1.47712125471966
DNA/PIF-Harbinger	0	2.10037054511756	3.90671205694296	3.31281182621209	1.38021124171161	0	3.54431614174743	1.65321251377534	2.45024910831936	2.40140054078154	2.32633586092875	3.96270073170434	0	0	0	2.74115159885178	3.40312052117582	2.60852603357719	1.96378782734556	2.9237619608287	3.17405980772503	3.13481437032046	0	0	0	2.19312459835446
DNA/PIF-ISL2EU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA/PIF-Spy	0	0	3.70139526901392	2.38916608436453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33243845991561	0	0	0	0	0	0
DNA/PiggyBac	2.47856649559384	0	3.13481437032046	4.01594624365757	0	0	0	0	0	0	0	0	0	0	0	0	0.954242509439325	0	0	2.20682587603185	1.07918124604762	0	0	0	0	0
DNA/PiggyBac-X	0	0	2.07188200730613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.50514997831991	0
DNA/Sola-1	0	2.19312459835446	2.97220283837906	2.4996870826184	0	0	0	0	0	0	0	0	0	0	0	3.26528962586083	0	0	0	2.28330122870355	0	0	0	0	0	0
DNA/Sola-2	0	0	0	0	0	3.4933186082321	4.35330059232073	4.40341224160453	0	2.25042000230889	1.17609125905568	0	0	0	0	0	0	0	0	0	0	0	1.23044892137827	0	0	0
DNA/Sola-3	4.20671796337583	0	3.56702636615906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA/TcMar	0	0	3.56702636615906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.05804623039528	0	0	0	0	0	0
DNA/TcMar-Fot1	0	0	3.39724458101039	3.77261504984917	0	2.19865708695442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA/TcMar-ISRm11	0	0	2.70586371228392	0	0	0	0	0	0.477121254719662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA/TcMar-Mariner	2.15228834438306	4.10318774885094	3.02284061087653	4.10174707394637	0	1.72427586960079	2.06069784035361	2.64246452024212	2.13033376849501	1.94448267215017	1.76342799356294	0	0	0	0	0	3.29003461136252	2.52374646681156	2.05307844348342	2.7427251313047	3.31910605930978	3.94561627922673	2.92116605063774	0	2.12710479836481	0.778151250383644
DNA/TcMar-Pogo	2.3654879848909	4.11733759509592	2.94001815500766	4.76591431227679	0	0	0	0	0	0	0	0	0	0	0	0	2.20411998265592	0	0	2.67669360962487	0	0	0	0	0	0
DNA/TcMar-Sagan	0	0	2.59328606702046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA/TcMar-Stowaway	0	0	0	0	0	0	2.07918124604762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA/TcMar-Tc1	3.57089303621839	4.48675625461727	3.02284061087653	4.37772504124315	0.954242509439325	3.41027096425218	3.0265332645233	0	3.27829620809127	2.73639650227664	0	2.08278537031645	0	0	0	0	3.77836834335587	2.46538285144842	4.08994041849864	3.06632592536204	3.29710365014926	4.00130093302042	3.31175386105575	2.05690485133647	3.87285524470481	0
DNA/TcMar-Tc2	2.84198480459011	4.16808479614068	4.78411781646292	5.34725778955496	2.58319877396862	3.90622726305236	4.2825994573846	3.05115252244738	3.01577875638904	3.99839013031805	1.7160033436348	3.659631011607	0	3.73479982958885	1.91907809237607	4.0407605242287	4.60160374254942	3.74686762785043	4.59771711943638	4.81239189032217	4.77976959741114	4.64195969349604	0	0	0	0
DNA/TcMar-Tc4	4.56574159235898	1.63346845557959	2.59328606702046	1.44715803134222	0	3.84248442441157	4.3047489594871	3.05994188806195	0	3.76544501809015	0	2.7979596437372	0	0	0	0	0	0	0	0	0	0	3.70053065697859	0	2.62013605497376	2.10037054511756
DNA/TcMar-Tigger	2.90363251608424	3.27300127206374	0	3.94280146631794	0	0	0	0	2.40312052117582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA/Zator	0	0	3.698535492562	2.68214507637383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA/Zisupton	2.26717172840301	3.48685535527694	5.22451234442643	3.14643813528577	0	2.87563993700417	1.70757017609794	1.72427586960079	1.20411998265592	0	0	0	0	0	0	1.69897000433602	1.04139268515823	0	2.53907609879278	2.93449845124357	2.55509444857832	2.21218760440396	0	0	0	0
LINE	0	0	2.82930377283102	0	0	0	0	1.20411998265592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE/CR1	1.64345267648619	0	3.9698350930758	2.63144376901317	3.1479853206838	0.301029995663981	3.53351786201697	3.98240692886379	0	1.88649072517248	1.50514997831991	0	0	0	0	0.602059991327962	3.28578227377939	0	3.59383966108127	3.4320066872696	4.49917827532083	2.87273882747267	0	0	0	0
LINE/CRE	0	3.44059426183983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.01745072951054	0	0	0	0	0	0
LINE/Dong-R4	0	0	3.32613095671079	0	0	0	3.02938377768521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09551804232315	0	1.86923171973098	0
LINE/I	0	0	0	3.34222522936079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE/I-Jockey	0	0	3.61331316145546	3.96529579581166	0	0	1.92941892571429	1.69019608002851	1.98227123303957	0	2.43296929087441	0	0	0	0	0	0	0	1.84509804001426	2.23299611039215	0	1.11394335230684	0	0	0	0
LINE/L1	2.44404479591808	0	2.5327543789925	2.97589113640179	0	2.17897694729317	3.24079877111733	1.70757017609794	2.79865064544527	2.1846914308176	0.301029995663981	0	0	0	1.43136376415899	0	2.86805636182304	2.57287160220048	3.09061070782841	2.52113808370404	3.27485032001666	2.62428209583567	0	0	0	3.11991541025799
LINE/L1-Tx1	0	0	0	0	0	0.845098040014257	2.4456042032736	2.39619934709574	0	0	0	0	0	0	0	1.44715803134222	0	0	0	0	0	0	0	0	0	0
LINE/L2	2.50514997831991	2.92992956008459	0	0	0	0	1.74036268949424	3.09131515969722	0	0	0	1.94448267215017	0	0	0	2.14301480025409	0	0	1.47712125471966	0	3.09025805293132	1.23044892137827	0.477121254719662	0	0	0
LINE/Penelope	0	3.42340972773309	0	1.07918124604762	0	1.27875360095283	0	0	0	0	0	3.86350130064145	0	0	0	0	0	0	0	0	1.20411998265592	0	0	0	0	0
LINE/R1	0	0	3.66735954618309	0	0	0	0	1.86332286012046	0	0	0	0	0	0	0	0	2.58092497567562	0	0	3.12515582958053	0	0	0	0	0	1.92427928606188
LINE/R2	0	0	2.57287160220048	0	0	0	0	0	0	0	0	1.6232492903979	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE/R2-NeSL	0	0	0	0	0	0	1.27875360095283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE/RTE-BovB	0	0	0	0	0	3.617838747717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE/RTE-RTE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.36802641611368	0
LINE/Tad1	3.07371835034612	0	2.70586371228392	0	0	0	0	0	0	0	0	0	0	0	0	2.5092025223311	0	0	0	1.14612803567824	0	0	0	0	4.10174707394637	0
Low_complexity	1.65321251377534	2.35983548233989	2.04139268515822	1.99563519459755	1.9731278535997	3.3384564936046	3.91083776499268	3.88064212640428	2.67669360962487	2.31597034545692	3.02857125269254	3.17289469775218	3.27461961909124	3.31302311032324	3.28465628278852	3.11594317693905	3.46568021159828	2.97220283837906	3.63377134608256	3.65137494391304	3.71357453777207	3.50609895992844	2.00432137378264	0	0	2.11058971029925
LTR	1.99563519459755	0	2.30535136944662	2.57518784492766	0	0	2.08635983067475	2.22010808804005	0	0	0	4.0484418035504	0	0	2.41995574848976	0	0	0	0	0.954242509439325	0	0	1.79934054945358	0	0	1.49136169383427
LTR/Caulimovirus	2.49276038902684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR/Copia	2.22271647114758	2.07918124604762	3.40466270087372	4.10836203495517	3.41780372263988	2.30102999566398	3.04257551244019	2.02938377768521	2.06818586174616	1.46239799789896	0	2.63447727016073	0	0	0	3.32489949705231	0	0	1.49136169383427	0	3.5908418347816	1.20411998265592	0	0	0.903089986991943	2.42488163663107
LTR/DIRS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR/ERV1	0	0	1.57978359661681	1.67209785793572	0	1.17609125905568	2.56702636615906	2.25285303097989	1.54406804435028	0	1.57978359661681	4.37787061278074	0	0	0	1.17609125905568	1.41497334797082	0	2.7979596437372	0	0.845098040014257	0	2.55266821611219	0	0	0
LTR/ERVK	0	0	0	2.52762990087134	0	0	0	0	0	0	0	0	0	0	0	0	1.20411998265592	2.1846914308176	3.92074926127571	2.02118929906994	2.33041377334919	4.08253405287271	0	0	0	0
LTR/ERVL-MaLR	0	0	0	3.15986784709257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR/Gypsy	3.69372694892365	3.48029446000301	2.04139268515822	4.08163530150295	3.41043978621035	3.02160271602824	4.80825149617964	4.36100971260814	3.37088301677761	4.46493642912173	3.59050746200858	5.09220114521765	0	2.3541084391474	3.65059889817266	3.81941231120933	4.33270097722138	3.52139962811538	5.20572120246283	4.71014276170736	4.73897864034956	4.43316155582932	2.65513843481138	0	3.4344092075875	3.84472562797323
LTR/Ngaro	0	0	2.30535136944662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.301029995663981	0	0	0	0	0	0	0
LTR/Pao	1.30102999566398	1.23044892137827	0	2.30749603791321	0	2.1846914308176	4.20951501454263	3.36660971039243	2.46239799789896	2.49276038902684	1.86923171973098	3.4996870826184	0	1.14612803567824	1.30102999566398	1.44715803134222	4.63349875413769	1.47712125471966	4.5704845630444	4.63793980155891	4.49056241732343	4.08098704691089	1.68124123737559	0	1.94448267215017	1.7481880270062
LTR/Unknown	0.845098040014257	1.81954393554187	3.40466270087372	3.58138068870999	1.25527250510331	1.82607480270083	3.59780484240429	2.91434315711944	1.38021124171161	2.50514997831991	2	3.57541879121436	0	2.80888586735981	2.35024801833416	1.65321251377534	3.83670379908973	0	3.67080228426094	4.12557884900219	4.69220336973284	3.37217528611506	4.15408906901442	0	1.07918124604762	2.38021124171161
PLE/Chlamys	0	0	0	0	0	2.78532983501077	2.65127801399814	3.33945144130644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RC/Helitron	4.62126978009106	4.36505722076633	1.57978359661681	4.16693309487115	2.3384564936046	3.30168094929358	2.38916608436453	3.51627088272934	2.07554696139253	3.27989498001164	3.57772152450902	4.75728971993045	0	1.91907809237607	3.2380461031288	0	4.20485223692822	4.37968615190696	3.95433900860246	2.88649072517248	4.82632752743426	3.23653726148869	2.54530711646582	1.91907809237607	4.09940437234554	2.63144376901317
RC/Helitron-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23044892137827	0
rRNA	0	0	0	3.03822263836872	0	0	0	0	0	0	0	0	1.94448267215017	1.30102999566398	0	1.17609125905568	0	0	2.60314437262018	2.93196611472817	2.63748972951251	1.83250891270624	0	0	2.32014628611105	0
Satellite	3.95007262975016	0	1.54406804435028	0	3.49066065335614	0	3.34576569311449	3.00389116623691	3.71591981743358	3.9509487143994	3.58092497567562	0	0	0	0	0	2.40993312333129	2.52891670027765	0	0	1.89209460269048	0	0	0	0	0
Simple_repeat	2.57287160220048	2.39967372148104	2.8109042806687	2.80685802951882	3.17435059747938	3.64305768375145	4.10496484552782	3.84972644419633	3.45392959205773	3.50772097668561	3.62179922400267	4.02321129232889	3.9114772171061	3.89718707658015	3.77349389227097	3.61299565603235	3.90891374002097	3.71138537909845	4.06785166051235	4.04559677186758	4.1391546584069	4.00749173329534	2.66275783168157	1.94448267215017	1.94448267215017	3.34888872307144
SINE/5S	0	1	5.25847205659445	0.903089986991943	0	0	1.74036268949424	2.21218760440396	0.602059991327962	0.903089986991943	2.22530928172586	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34242268082221	0
SINE/ID	0	3.40585839931764	0	0	0	0.301029995663981	0	0	1.77085201164214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95904139232109
SINE/tRNA	0	1.89762709129044	2.12710479836481	0.778151250383644	0	2.11394335230684	2.28103336724773	4.51205704403734	1.04139268515823	2.09691001300806	0	0	2.78816837114117	0	0	0	0	0	1.73239375982297	0	2.69983772586725	0	3.68484536164441	0	0	2.25042000230889
SINE/tRNA-Deu	0	0	3.45484486000851	0	0	0	0	0	1.25527250510331	1.85733249643127	1.49136169383427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE/tRNA-Deu-I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55630250076729	0	0	0
SINE/tRNA-RTE	0	0	5.10910586375529	0	0	0	0	0	0	0	0	3.07591176148278	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE/tRNA-V-CR1	0	0	0	0	0	0	0	0	0	0	0	2.21748394421391	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE/U	0	0.602059991327962	0	2.60097289568675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.90091306773767	0	0	0	0	0	0
SINE/U-L1	0	0	1.54406804435028	0	0	0	2.49136169383427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
snRNA	0	0	2.8109042806687	0	0	0	0	0	0	0	1.14612803567824	0	0	0	0	0	0	0	0	0	2.23552844690755	0	0	0	0	0
tRNA	0	0	1.54406804435028	2.75358305889291	0	0	1.73239375982297	0	0	0	0	4.43184604569873	0	0	0	0	2.66651798055488	0	1.38021124171161	3.55010599934759	0	0	0	0	0	1.14612803567824
Unknown	6.12659144421204	6.40375793393137	6.93159764626506	6.87119246940354	5.47961705341234	6.11631280173357	6.52312617920597	6.35369027750054	6.2481030445857	6.35252075002469	6.25238403093821	6.45462598139656	0	0	5.33845450142351	5.35624199404658	6.30136622655161	0	6.40033417716639	6.24990977266757	6.46266523140542	6.32656831014281	5.87248667719588	0	5.15296983525	6.16221838631508
